TargetLeaf	ClosestLeaf	BranchLength	State
WP_000955577_1	WP_000955628_1	0.00702	original
WP_000955578_1	WP_001972230_1	0.00541	original
WP_000955579_1	WP_000955654_1	0.00580	original
WP_000955580_1	WP_000955617_1	0.00343	original
WP_000955581_1	WP_000955598_1	0.00290	original
WP_000955582_1	WP_000955610_1	0.00579	original
WP_000955583_1	WP_000955607_1	0.00751	original
WP_000955584_1	WP_000955670_1	0.00525	original
WP_000955585_1	WP_000955629_1	0.00581	original
WP_000955586_1	WP_000955589_1	0.00467	original
WP_000955587_1	WP_000955588_1	0.00465	original
WP_000955588_1	WP_000955587_1	0.00465	original
WP_000955589_1	WP_000955586_1	0.00467	original
WP_000955590_1	WP_000955634_1	0.00700	original
WP_000955591_1	WP_001919564_1	0.00575	original
WP_000955592_1	WP_000955608_1	0.00287	original
WP_000955593_1	WP_001945852_1	0.00333	original
WP_000955594_1	WP_001963489_1	0.00702	original
WP_000955595_1	WP_000955661_1	0.00930	original
WP_000955596_1	WP_000955610_1	0.00634	original
WP_000955597_1	WP_000955584_1	0.00756	original
WP_000955598_1	WP_000955581_1	0.00290	original
WP_000955599_1	WP_000955652_1	0.00634	original
WP_000955600_1	WP_000955672_1	0.00975	original
WP_000955601_1	WP_000955608_1	0.00453	original
WP_000955602_1	WP_000955603_1	0.00286	original
WP_000955603_1	WP_000955602_1	0.00286	original
WP_000955604_1	WP_001920496_1	0.00454	original
WP_000955605_1	WP_000955604_1	0.00506	original
WP_000955606_1	WP_001981588_1	0.00468	original
WP_000955607_1	WP_000955583_1	0.00751	original
WP_000955608_1	WP_000955592_1	0.00287	original
WP_000955609_1	WP_000955678_1	0.00451	original
WP_000955610_1	WP_000955582_1	0.00579	original
WP_000955611_1	WP_000955670_1	0.00702	original
WP_000955612_1	WP_000955621_1	0.00607	original
WP_000955613_1	WP_002208148_1	0.00616	original
WP_000955614_1	WP_000955671_1	0.00290	original
WP_000955615_1	WP_015645496_1	0.00502	original
WP_000955616_1	WP_000955672_1	0.00524	original
WP_000955617_1	WP_000955618_1	0.00290	original
WP_000955618_1	WP_000955617_1	0.00290	original
WP_000955619_1	WP_015643241_1	0.00109	original
WP_000955620_1	WP_000955574_1	0.00575	original
WP_000955621_1	WP_000955612_1	0.00607	original
WP_000955622_1	WP_000955684_1	0.00344	original
WP_000955623_1	WP_000955622_1	0.00400	original
WP_000955624_1	WP_002208148_1	0.00289	original
WP_000955625_1	WP_015428595_1	0.00473	original
WP_000955626_1	WP_015643241_1	0.00615	original
WP_000955627_1	WP_015643241_1	0.00382	original
WP_000955628_1	WP_000955574_1	0.00577	original
WP_000955629_1	WP_000955585_1	0.00581	original
WP_000955630_1	WP_000955601_1	0.00978	original
WP_000955631_1	WP_001941562_1	0.00978	original
WP_000955632_1	WP_001916755_1	0.00511	original
WP_000955633_1	WP_015087549_1	0.00345	original
WP_000955634_1	WP_000955590_1	0.00700	original
WP_000955635_1	WP_000955636_1	0.00524	original
WP_000955636_1	WP_000955635_1	0.00524	original
WP_000955637_1	WP_000955636_1	0.00710	original
WP_000955638_1	WP_015087549_1	0.00324	original
WP_000955639_1	WP_000955663_1	0.00471	original
WP_000955640_1	WP_000955663_1	0.00761	original
WP_000955641_1	WP_000955632_1	0.01170	original
WP_000955642_1	WP_000955643_1	0.00289	original
WP_000955643_1	WP_000955642_1	0.00289	original
WP_000955644_1	WP_000955646_1	0.00563	original
WP_000955645_1	WP_001940230_1	0.00343	original
WP_000955646_1	WP_000955644_1	0.00563	original
WP_000955647_1	WP_000955644_1	0.00748	original
WP_000955648_1	WP_000955649_1	0.00344	original
WP_000955649_1	WP_001927260_1	0.00341	original
WP_000955650_1	WP_000955651_1	0.00288	original
WP_000955651_1	WP_000955650_1	0.00288	original
WP_000955652_1	WP_000955653_1	0.00345	original
WP_000955653_1	WP_000955652_1	0.00345	original
WP_000955654_1	WP_000955675_1	0.00345	original
WP_000955655_1	WP_000955656_1	0.00706	original
WP_000955656_1	WP_000955655_1	0.00706	original
WP_000955657_1	WP_000955666_1	0.00958	original
WP_000955658_1	WP_000955690_1	0.00756	original
WP_000955659_1	WP_001954569_1	0.00747	original
WP_000955660_1	WP_001952842_1	0.00614	original
WP_000955661_1	WP_000955595_1	0.00930	original
WP_000955662_1	WP_000955608_1	0.00398	original
WP_000955663_1	WP_000955639_1	0.00471	original
WP_000955665_1	WP_000955620_1	0.00750	original
WP_000955666_1	WP_000955657_1	0.00958	original
WP_000955667_1	WP_000955674_1	0.01195	original
WP_000955668_1	WP_000955588_1	0.00942	original
WP_000955669_1	WP_003014008_1	0.00704	original
WP_000955670_1	WP_000955584_1	0.00525	original
WP_000955671_1	WP_000955614_1	0.00290	original
WP_000955672_1	WP_000955616_1	0.00524	original
WP_000955673_1	WP_000955621_1	0.00754	original
WP_000955674_1	WP_001922800_1	0.00760	original
WP_000955675_1	WP_000955654_1	0.00345	original
WP_000955676_1	WP_000955661_1	0.01160	original
WP_000955677_1	WP_000955607_1	0.00860	original
WP_000955678_1	WP_017281487_1	0.00287	original
WP_000955679_1	WP_000955622_1	0.00807	original
WP_000955680_1	WP_011577291_1	0.01639	original
WP_000955681_1	WP_001970337_1	0.00522	original
WP_000955682_1	WP_001945852_1	0.00288	original
WP_000955683_1	WP_000955626_1	0.00798	original
WP_000955684_1	WP_000955622_1	0.00344	original
WP_000955685_1	WP_000955603_1	0.01141	original
WP_000955686_1	WP_015087549_1	0.00576	original
WP_000955687_1	WP_000955629_1	0.00977	original
WP_000955688_1	WP_001940230_1	0.00580	original
WP_000955689_1	WP_000955649_1	0.00742	original
WP_000955690_1	WP_000955658_1	0.00756	original
WP_000955691_1	WP_002208148_1	0.00811	original
WP_001121755_1	WP_001121759_1	0.00283	original
WP_001121756_1	WP_015445772_1	0.00337	original
WP_001121757_1	WP_001121764_1	0.00512	original
WP_001121759_1	WP_001121755_1	0.00283	original
WP_001121760_1	WP_015445772_1	0.00164	original
WP_001121761_1	WP_017466665_1	0.00456	original
WP_001121762_1	WP_015445772_1	0.00501	original
WP_001121763_1	WP_015445772_1	0.00394	original
WP_001121764_1	WP_015445772_1	0.00503	original
WP_001142111_1	WP_017657033_1	0.00290	original
WP_001142112_1	WP_001142111_1	0.00345	original
WP_001383844_1	WP_001709195_1	0.00465	original
WP_001392588_1	WP_001482864_1	0.00277	original
WP_001474582_1	WP_000036723_1	0.00330	original
WP_001482864_1	WP_001392588_1	0.00277	original
WP_001501383_1	WP_000036720_1	0.00465	original
WP_001530790_1	WP_000036722_1	0.00409	original
WP_001603367_1	WP_000036729_1	0.00473	original
WP_001609277_1	WP_000036717_1	0.00193	original
WP_001645681_1	WP_000036725_1	0.00520	original
WP_001709195_1	WP_001383844_1	0.00465	original
WP_001829595_1	WP_002456125_1	0.00336	original
WP_001916755_1	WP_000955632_1	0.00511	original
WP_001919564_1	WP_015643241_1	0.00398	original
WP_001920496_1	WP_000955604_1	0.00454	original
WP_001921657_1	WP_001967754_1	0.00504	original
WP_001922800_1	WP_000955652_1	0.00386	original
WP_001924382_1	WP_000955654_1	0.00383	original
WP_001927260_1	WP_000955649_1	0.00341	original
WP_001929167_1	WP_001951231_1	0.00285	original
WP_001933383_1	WP_000955649_1	0.00741	original
WP_001934304_1	WP_000955649_1	0.00343	original
WP_001935055_1	WP_001952842_1	0.00286	original
WP_001939398_1	WP_001965084_1	0.00465	original
WP_001940230_1	WP_000955645_1	0.00343	original
WP_001941562_1	WP_001972230_1	0.00828	original
WP_001943323_1	WP_000955604_1	0.00681	original
WP_001945852_1	WP_000955682_1	0.00288	original
WP_001949027_1	WP_000955649_1	0.00453	original
WP_001951231_1	WP_001929167_1	0.00285	original
WP_001952842_1	WP_001935055_1	0.00286	original
WP_001953835_1	WP_000955599_1	0.00758	original
WP_001954569_1	WP_000955654_1	0.00397	original
WP_001957569_1	WP_001939398_1	0.00752	original
WP_001959242_1	WP_000955652_1	0.01136	original
WP_001963489_1	WP_000955594_1	0.00702	original
WP_001965084_1	WP_001939398_1	0.00465	original
WP_001967754_1	WP_001921657_1	0.00504	original
WP_001970337_1	WP_000955681_1	0.00522	original
WP_001972230_1	WP_000955578_1	0.00541	original
WP_001975088_1	WP_016085606_1	0.00346	original
WP_001981588_1	WP_000955606_1	0.00468	original
WP_002034740_1	WP_002112796_1	0.00291	original
WP_002050727_1	WP_004708520_1	0.00336	original
WP_002105383_1	WP_000018115_1	0.00446	original
WP_002112796_1	WP_002034740_1	0.00291	original
WP_002121066_1	WP_016145494_1	0.00287	original
WP_002124088_1	WP_000103949_1	0.00445	original
WP_002177762_1	WP_004429166_1	0.00448	original
WP_002208148_1	WP_000955624_1	0.00289	original
WP_002209377_1	WP_011191770_1	0.00290	original
WP_002213386_1	WP_002240570_1	0.00397	original
WP_002219188_1	WP_002222383_1	0.00286	original
WP_002220887_1	WP_002255489_1	0.00286	original
WP_002222383_1	WP_002219188_1	0.00286	original
WP_002223714_1	WP_002243567_1	0.00936	original
WP_002232565_1	WP_002240570_1	0.00395	original
WP_002237984_1	WP_002219188_1	0.00344	original
WP_002240570_1	WP_002241641_1	0.00341	original
WP_002241641_1	WP_002240570_1	0.00341	original
WP_002243567_1	WP_002223714_1	0.00936	original
WP_002251368_1	WP_002258237_1	0.00464	original
WP_002255489_1	WP_002220887_1	0.00286	original
WP_002258237_1	WP_002251368_1	0.00464	original
WP_002292812_1	WP_002331566_1	0.00340	original
WP_002319587_1	WP_002292812_1	0.00395	original
WP_002331566_1	WP_002292812_1	0.00340	original
WP_002334463_1	WP_002292812_1	0.00393	original
WP_002346462_1	WP_002292812_1	0.00570	original
WP_002357098_1	WP_016633301_1	0.00287	original
WP_002395211_1	WP_002357098_1	0.00342	original
WP_002432982_1	WP_002452768_1	0.00455	original
WP_002434624_1	WP_012442423_1	0.03301	original
WP_002441581_1	WP_002452768_1	0.00747	original
WP_002442418_1	WP_015369968_1	0.02176	original
WP_002445966_1	WP_001829595_1	0.00449	original
WP_002448208_1	WP_017175902_1	0.00280	original
WP_002450894_1	WP_015365263_1	0.00334	original
WP_002452768_1	WP_002432982_1	0.00455	original
WP_002456125_1	WP_001829595_1	0.00336	original
WP_002456934_1	WP_001829595_1	0.00336	original
WP_002459691_1	WP_002441581_1	0.02409	original
WP_002461952_1	WP_001121757_1	0.03275	original
WP_002465364_1	WP_002450894_1	0.00335	original
WP_002472900_1	WP_019469444_1	0.08763	original
WP_002481570_1	WP_015899686_1	0.04755	original
WP_002493484_1	WP_002503598_1	0.00455	original
WP_002499412_1	WP_001829595_1	0.00394	original
WP_002503598_1	WP_002493484_1	0.00455	original
WP_002508251_1	WP_011303585_1	0.05192	original
WP_002510529_1	WP_011303585_1	0.05026	original
WP_002513282_1	WP_002547564_1	0.00290	original
WP_002516702_1	WP_002520086_1	0.00292	original
WP_002520086_1	WP_002516702_1	0.00292	original
WP_002526954_1	WP_002549588_1	0.01658	original
WP_002537562_1	WP_005501903_1	0.02563	original
WP_002547564_1	WP_002513282_1	0.00290	original
WP_002549588_1	WP_002516702_1	0.00993	original
WP_002554711_1	WP_004666020_1	0.00164	original
WP_002556934_1	WP_002657783_1	0.00333	original
WP_002562025_1	WP_007478314_1	0.04207	original
WP_002563337_1	WP_009277920_1	0.24705	original
WP_002569633_1	WP_002572180_1	0.00555	original
WP_002572180_1	WP_002569633_1	0.00555	original
WP_002575625_1	WP_002590605_1	0.00305	original
WP_002581646_1	WP_003431241_1	0.00456	original
WP_002582106_1	WP_008418181_1	0.05982	original
WP_002584697_1	WP_002569633_1	0.03208	original
WP_002588114_1	WP_002603423_1	0.21122	original
WP_002590605_1	WP_002575625_1	0.00305	original
WP_002599576_1	WP_015395165_1	0.31841	original
WP_002603423_1	WP_006774057_1	0.01194	original
WP_002605972_1	WP_004800932_1	0.09313	original
WP_002630400_1	WP_013376450_1	0.17665	original
WP_002630770_1	WP_004498320_1	0.01817	original
WP_002639447_1	WP_011554450_1	0.02540	original
WP_002641503_1	WP_003784360_1	0.13380	original
WP_002645427_1	WP_013626979_1	0.29107	original
WP_002652573_1	WP_008695490_1	0.34917	original
WP_002656096_1	WP_002661684_1	0.00330	original
WP_002657783_1	WP_002665257_1	0.00275	original
WP_002660061_1	WP_014373613_1	0.00479	original
WP_002660666_1	WP_002661684_1	0.00109	original
WP_002661684_1	WP_002660666_1	0.00109	original
WP_002664543_1	WP_002687510_1	0.00702	original
WP_002665257_1	WP_002657783_1	0.00275	original
WP_002666314_1	WP_009746293_1	0.05533	original
WP_002670350_1	WP_002693062_1	0.00335	original
WP_002673310_1	WP_009412298_1	0.01396	original
WP_002680771_1	WP_009412298_1	0.00981	original
WP_002682247_1	WP_002689690_1	0.00282	original
WP_002685856_1	WP_005961760_1	0.40723	original
WP_002687510_1	WP_002664543_1	0.00702	original
WP_002689690_1	WP_002682247_1	0.00282	original
WP_002693062_1	WP_010692310_1	0.00283	original
WP_002696167_1	WP_009578737_1	0.37389	original
WP_002706731_1	WP_009103390_1	0.05820	original
WP_002710527_1	WP_020561220_1	0.24357	original
WP_002711648_1	WP_019196963_1	0.02439	original
WP_002715692_1	WP_009340717_1	0.02420	original
WP_002719649_1	WP_011907973_1	0.02686	original
WP_002721586_1	WP_011670344_1	0.00326	original
WP_002729929_1	WP_008619548_1	0.14686	original
WP_002736475_1	WP_002792018_1	0.00581	original
WP_002745474_1	WP_012266379_1	0.00944	original
WP_002754108_1	WP_002736475_1	0.00818	original
WP_002757333_1	WP_002798189_1	0.00577	original
WP_002758785_1	WP_002721586_1	0.00328	original
WP_002761881_1	WP_002630770_1	0.01847	original
WP_002766621_1	WP_002788683_1	0.01166	original
WP_002768207_1	WP_004161573_1	0.00291	original
WP_002771852_1	WP_012388688_1	0.64086	original
WP_002773589_1	WP_002736475_1	0.00761	original
WP_002779413_1	WP_002809723_1	0.00410	original
WP_002783559_1	WP_002934795_1	0.01889	original
WP_002783782_1	WP_002792018_1	0.00527	original
WP_002788683_1	WP_002766621_1	0.01166	original
WP_002791650_1	WP_002797083_1	0.01085	original
WP_002792018_1	WP_002783782_1	0.00527	original
WP_002797083_1	WP_002809723_1	0.00458	original
WP_002798189_1	WP_002757333_1	0.00577	original
WP_002800256_1	WP_002882234_1	0.00783	original
WP_002802932_1	WP_008200287_1	0.01409	original
WP_002805405_1	WP_012007014_1	0.01345	original
WP_002808113_1	WP_007966792_1	0.01339	original
WP_002809723_1	WP_002818657_1	0.00300	original
WP_002815974_1	WP_011679148_1	0.00268	original
WP_002818657_1	WP_002809723_1	0.00300	original
WP_002819470_1	WP_002822035_1	0.00265	original
WP_002822035_1	WP_002819470_1	0.00265	original
WP_002822900_1	WP_002809723_1	0.00356	original
WP_002825517_1	WP_002899158_1	0.00599	original
WP_002828899_1	WP_003608069_1	0.05370	original
WP_002829911_1	WP_002834064_1	0.03083	original
WP_002834064_1	WP_002829911_1	0.03083	original
WP_002838409_1	WP_002839066_1	0.00281	original
WP_002839066_1	WP_002838409_1	0.00281	original
WP_002839176_1	WP_002882234_1	0.00586	original
WP_002842234_1	WP_002839066_1	0.00325	original
WP_002842640_1	WP_002937443_1	0.00490	original
WP_002843568_1	WP_002844977_1	0.00779	original
WP_002844977_1	WP_002843568_1	0.00779	original
WP_002847374_1	WP_009985381_1	0.07105	original
WP_002848225_1	WP_009497016_1	0.28690	original
WP_002851519_1	WP_002919988_1	0.00354	original
WP_002856489_1	WP_002867528_1	0.00301	original
WP_002856553_1	WP_010079332_1	0.00995	original
WP_002860116_1	WP_002902903_1	0.00299	original
WP_002862301_1	WP_002871500_1	0.00302	original
WP_002865208_1	WP_002934795_1	0.00514	original
WP_002867528_1	WP_002856489_1	0.00301	original
WP_002871500_1	WP_002862301_1	0.00302	original
WP_002871898_1	WP_002851519_1	0.00355	original
WP_002872288_1	WP_002851519_1	0.00356	original
WP_002873248_1	WP_002851519_1	0.00466	original
WP_002882234_1	WP_002839176_1	0.00586	original
WP_002888833_1	WP_002934795_1	0.00300	original
WP_002894599_1	WP_002899158_1	0.00355	original
WP_002899158_1	WP_002894599_1	0.00355	original
WP_002902903_1	WP_002860116_1	0.00299	original
WP_002915213_1	WP_004142806_1	0.00290	original
WP_002919988_1	WP_002851519_1	0.00354	original
WP_002926611_1	WP_004305922_1	0.01744	original
WP_002934795_1	WP_002888833_1	0.00300	original
WP_002937443_1	WP_002842640_1	0.00490	original
WP_002938814_1	WP_015436332_1	0.18074	original
WP_002940828_1	WP_012140455_1	0.00524	original
WP_002953584_1	WP_004319704_1	0.00490	original
WP_002957269_1	WP_014666316_1	0.00476	original
WP_002958706_1	WP_010553217_1	0.01152	original
WP_002964261_1	WP_006070876_1	0.00274	original
WP_002973840_1	WP_004788586_1	0.01783	original
WP_002981534_1	WP_008612698_1	0.41067	original
WP_002983293_1	WP_018674830_1	0.09132	original
WP_002986939_1	WP_015678184_1	0.01358	original
WP_002987478_1	WP_006259468_1	0.09741	original
WP_002993729_1	WP_003010667_1	0.00281	original
WP_003000469_1	WP_020772842_1	0.02045	original
WP_003010667_1	WP_002993729_1	0.00281	original
WP_003014008_1	WP_000955669_1	0.00704	original
WP_003034129_1	WP_005130911_1	0.00291	original
WP_003039115_1	WP_011540835_1	0.04817	original
WP_003049097_1	WP_014628807_1	0.07061	original
WP_003057720_1	WP_019043750_1	0.00295	original
WP_003082231_1	WP_013229875_1	0.03679	original
WP_003092364_1	WP_017938817_1	0.05358	original
WP_003127565_1	WP_005234360_1	0.00781	original
WP_003140204_1	WP_010771434_1	0.15826	original
WP_003143086_1	WP_016897452_1	0.00716	original
WP_003147889_1	WP_004263130_1	0.01163	original
WP_003150622_1	WP_016477341_1	0.00532	original
WP_003151625_1	WP_003235209_1	0.00395	original
WP_003164875_1	WP_003169372_1	0.01223	original
WP_003169372_1	WP_003164875_1	0.01223	original
WP_003172293_1	WP_017529681_1	0.00636	original
WP_003184875_1	WP_020296604_1	0.00583	original
WP_003185460_1	WP_009329614_1	0.00284	original
WP_003189193_1	WP_017529681_1	0.00645	original
WP_003198270_1	WP_013692387_1	0.00164	original
WP_003201939_1	WP_016112481_1	0.00478	original
WP_003212752_1	WP_012011300_1	0.00286	original
WP_003219294_1	WP_017137156_1	0.00777	original
WP_003219966_1	WP_007409956_1	0.00343	original
WP_003222156_1	WP_007964291_1	0.00344	original
WP_003228333_1	WP_017695172_1	0.00109	original
WP_003231202_1	WP_015371414_1	0.00293	original
WP_003235209_1	WP_003151625_1	0.00395	original
WP_003244233_1	WP_017363772_1	0.00538	original
WP_003248115_1	WP_013400009_1	0.00286	original
WP_003252333_1	WP_012315883_1	0.00536	original
WP_003264246_1	WP_003268703_1	0.00164	original
WP_003268703_1	WP_003264246_1	0.00164	original
WP_003285784_1	WP_019342400_1	0.07185	original
WP_003290703_1	WP_008566897_1	0.00539	original
WP_003295031_1	WP_014596300_1	0.02978	original
WP_003299346_1	WP_014819919_1	0.01475	original
WP_003326874_1	WP_013390661_1	0.00285	original
WP_003330790_1	WP_017756365_1	0.05180	original
WP_003334396_1	WP_003341170_1	0.00289	original
WP_003339565_1	WP_003364816_1	0.00402	original
WP_003341170_1	WP_003334396_1	0.00289	original
WP_003349427_1	WP_003352092_1	0.02289	original
WP_003352092_1	WP_003349427_1	0.02289	original
WP_003353513_1	WP_020155101_1	0.13513	original
WP_003356714_1	WP_003487736_1	0.00284	original
WP_003360473_1	WP_012344047_1	0.00864	original
WP_003364084_1	WP_011721504_1	0.02055	original
WP_003364816_1	WP_010434258_1	0.00292	original
WP_003372163_1	WP_012423514_1	0.00521	original
WP_003377833_1	WP_005766003_1	0.00291	original
WP_003392575_1	WP_007782208_1	0.06246	original
WP_003397290_1	WP_009362285_1	0.00288	original
WP_003399038_1	WP_014519547_1	0.00496	original
WP_003407641_1	WP_002581646_1	0.00509	original
WP_003415551_1	WP_003339565_1	0.00531	original
WP_003431241_1	WP_002581646_1	0.00456	original
WP_003440481_1	WP_019822217_1	0.01427	original
WP_003442633_1	WP_015023571_1	0.02697	original
WP_003442979_1	WP_010236802_1	0.10240	original
WP_003450477_1	WP_003460354_1	0.00342	original
WP_003460354_1	WP_003477918_1	0.00289	original
WP_003468161_1	WP_018930946_1	0.06378	original
WP_003471310_1	WP_009604626_1	0.01411	original
WP_003477918_1	WP_003460354_1	0.00289	original
WP_003481827_1	WP_016851085_1	0.00292	original
WP_003487736_1	WP_003356714_1	0.00284	original
WP_003496185_1	WP_003521367_1	0.00986	original
WP_003502596_1	WP_020012448_1	0.00545	original
WP_003507735_1	WP_006781138_1	0.34529	original
WP_003512177_1	WP_014254471_1	0.11712	original
WP_003512870_1	WP_003502596_1	0.04357	original
WP_003521367_1	WP_003496185_1	0.00986	original
WP_003534744_1	WP_010969226_1	0.00609	original
WP_003537581_1	WP_009300238_1	0.00285	original
WP_003538158_1	WP_004609177_1	0.19649	original
WP_003539312_1	WP_017993988_1	0.00485	original
WP_003540456_1	WP_013810775_1	0.00533	original
WP_003540612_1	WP_013809440_1	0.00495	original
WP_003554541_1	WP_008213347_1	0.01590	original
WP_003559096_1	WP_018484710_1	0.00298	original
WP_003564271_1	WP_003574301_1	0.00337	original
WP_003573349_1	WP_018241901_1	0.00726	original
WP_003574301_1	WP_003564271_1	0.00337	original
WP_003578316_1	WP_003564271_1	0.00392	original
WP_003579067_1	WP_003586659_1	0.00788	original
WP_003586659_1	WP_003579067_1	0.00788	original
WP_003587520_1	WP_003564271_1	0.00391	original
WP_003593908_1	WP_003564271_1	0.00617	original
WP_003597464_1	WP_015951248_1	0.00288	original
WP_003608069_1	WP_010370001_1	0.01670	original
WP_003620132_1	WP_010507853_1	0.06502	original
WP_003623019_1	WP_003628711_1	0.00348	original
WP_003628711_1	WP_003623019_1	0.00348	original
WP_003635726_1	WP_019234315_1	0.10567	original
WP_003637874_1	WP_003643976_1	0.00314	original
WP_003641047_1	WP_003643976_1	0.00262	original
WP_003643976_1	WP_003641047_1	0.00262	original
WP_003647015_1	WP_020806686_1	0.00336	original
WP_003651452_1	WP_003647015_1	0.00337	original
WP_003657537_1	WP_003665607_1	0.00330	original
WP_003660297_1	WP_003665607_1	0.00328	original
WP_003665607_1	WP_003672714_1	0.00293	original
WP_003666443_1	WP_003717603_1	0.02605	original
WP_003672714_1	WP_003665607_1	0.00293	original
WP_003675235_1	WP_004520772_1	0.01421	original
WP_003679616_1	WP_003685471_1	0.00710	original
WP_003685471_1	WP_003679616_1	0.00710	original
WP_003688102_1	WP_003692594_1	0.08689	original
WP_003688915_1	WP_003691316_1	0.00287	original
WP_003691316_1	WP_003688915_1	0.00287	original
WP_003692594_1	WP_004048249_1	0.06004	original
WP_003700615_1	WP_003706555_1	0.00264	original
WP_003706555_1	WP_003700615_1	0.00264	original
WP_003708584_1	WP_003752667_1	0.00769	original
WP_003713109_1	WP_003708584_1	0.00993	original
WP_003714071_1	WP_006500391_1	0.03853	original
WP_003717603_1	WP_003666443_1	0.02605	original
WP_003720760_1	WP_014093670_1	0.00312	original
WP_003726579_1	WP_003727923_1	0.00291	original
WP_003727923_1	WP_003726579_1	0.00291	original
WP_003746198_1	WP_003675235_1	0.02000	original
WP_003752667_1	WP_003708584_1	0.00769	original
WP_003756747_1	WP_003778422_1	0.00290	original
WP_003759031_1	WP_007475489_1	0.03662	original
WP_003769676_1	WP_007342746_1	0.08806	original
WP_003774897_1	WP_018579688_1	0.02088	original
WP_003778422_1	WP_003756747_1	0.00290	original
WP_003778598_1	WP_004634487_1	0.21240	original
WP_003784166_1	WP_003787524_1	0.01493	original
WP_003784360_1	WP_003794243_1	0.06494	original
WP_003787494_1	WP_019389567_1	0.00345	original
WP_003787524_1	WP_003784166_1	0.01493	original
WP_003790314_1	WP_009054154_1	0.00919	original
WP_003791153_1	WP_019389567_1	0.00292	original
WP_003794243_1	WP_003784360_1	0.06494	original
WP_003798068_1	WP_018777270_1	0.03418	original
WP_003800888_1	WP_009456510_1	0.00470	original
WP_003808948_1	WP_004221531_1	0.02356	original
WP_003812660_1	WP_007051126_1	0.03138	original
WP_003813700_1	WP_015065136_1	0.00716	original
WP_003824068_1	WP_003769676_1	0.10248	original
WP_003826833_1	WP_003835282_1	0.03051	original
WP_003828875_1	WP_013140489_1	0.00553	original
WP_003835282_1	WP_004221531_1	0.00382	original
WP_003840619_1	WP_003842313_1	0.00278	original
WP_003842313_1	WP_003840619_1	0.00278	original
WP_003846315_1	WP_006822766_1	0.03711	original
WP_003850833_1	WP_014306718_1	0.00292	original
WP_003856756_1	WP_015650797_1	0.06001	original
WP_003862715_1	WP_014885045_1	0.00552	original
WP_003865844_1	WP_019893463_1	0.22032	original
WP_003867207_1	WP_009053020_1	0.01226	original
WP_003870196_1	WP_012269155_1	0.00284	original
WP_003935106_1	WP_010592910_1	0.00294	original
WP_003946309_1	WP_019744628_1	0.00291	original
WP_003950127_1	WP_010643206_1	0.01468	original
WP_003968663_1	WP_006125111_1	0.00347	original
WP_003971039_1	WP_012382158_1	0.00493	original
WP_003971506_1	WP_011031794_1	0.00531	original
WP_003975715_1	WP_007450473_1	0.01198	original
WP_003984176_1	WP_019891609_1	0.07566	original
WP_003990772_1	WP_010034445_1	0.01438	original
WP_004006066_1	WP_006888045_1	0.01848	original
